"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup","padj","log2FoldChange"
"Os03t0659233-00","Os03g0659233","Cytochrome b559 subunit alpha.","-","-","-","-","-","-","Biological Process: photosynthetic electron transport chain (GO:0009767), Biological Process: photosynthesis (GO:0015979), Biological Process: photosynthesis, light reaction (GO:0019684), Cellular Component: photosystem II (GO:0009523), Cellular Component: plastid (GO:0009536), Cellular Component: photosystem II reaction center (GO:0009539), Cellular Component: thylakoid (GO:0009579), Cellular Component: integral to membrane (GO:0016021), Cellular Component: plasma membrane-derived thylakoid photosystem II (GO:0030096), Molecular Function: heme binding (GO:0020037), Molecular Function: metal ion binding (GO:0046872)","Photosystem II cytochrome b559, conserved site (IPR006216), Photosystem II cytochrome b559, alpha subunit (IPR006217), Photosystem II cytochrome b559, N-terminal (IPR013081), Photosystem II cytochrome b559, alpha subunit, lumenal region (IPR013082)","P0C368 (UniProt)","P0C368 (UniProt)","-","-","-","-","ATCG00580.1","2","protein_coding","photosystem II reaction center protein E","""PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.""","""photosystem II reaction center protein E (PSBE); FUNCTIONS IN: electron carrier activity, heme binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, oxygen evolving complex, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559, N-terminal (InterPro:IPR013081), Photosystem II protein cytochrome b559, conserved site (InterPro:IPR006216), Photosystem II protein cytochrome b559, alpha subunit, lumenal region (InterPro:IPR013082), Photosystem II protein cytochrome b559, alpha subunit (InterPro:IPR006217).""","PSBE","photosystem II reaction center protein E","PSBE","-","photosystem II reaction center protein E","photosystem II reaction center protein E (PSBE)%3B FUNCTIONS IN: electron carrier activity%2C heme binding%3B INVOLVED IN: photosynthesis%2C light harvesting in photosystem II%3B LOCATED IN: thylakoid%2C chloroplast thylakoid membrane%2C chloroplast%2C oxygen evolving complex%2C membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559%2C N-terminal (InterPro:IPR013081)%2C Photosystem II protein cytochrome b559%2C conserved site (InterPro:IPR006216)%2C Photosystem II protein cytochrome b559%2C alpha subunit%2C lumenal region (InterPro:IPR013082)%2C Photosystem II protein cytochrome b559%2C alpha subunit (InterPro:IPR006217).","""PMID:11532164,PMID:14729914,PMID:15322131,PMID:17432890,PMID:17726051,PMID:18633119,PMID:24025801,locus:504954681""","protein_coding","PSII cytochrome b559. There have been many speculations about the function of Cyt b559%2C but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.","-","-","data",0.0460501051363196,1.53149637798344
"Os03t0659266-00","Os03g0659266","Cytochrome b559 subunit beta.","-","-","-","-","-","-","Biological Process: photosynthetic electron transport chain (GO:0009767), Biological Process: photosynthesis (GO:0015979), Biological Process: photosynthesis, light reaction (GO:0019684), Cellular Component: photosystem II (GO:0009523), Cellular Component: plastid (GO:0009536), Cellular Component: photosystem II reaction center (GO:0009539), Cellular Component: thylakoid (GO:0009579), Cellular Component: integral to membrane (GO:0016021), Molecular Function: heme binding (GO:0020037), Molecular Function: metal ion binding (GO:0046872)","Photosystem II cytochrome b559, conserved site (IPR006216), Photosystem II cytochrome b559, beta subunit (IPR006241), Photosystem II cytochrome b559, N-terminal (IPR013081)","P0C399 (UniProt)","P0C399 (UniProt)","-","-","-","-","ATCG00570.1","2","protein_coding","photosystem II reaction center protein F","PSII cytochrome b559","""photosystem II reaction center protein F (PSBF); FUNCTIONS IN: heme binding, metal ion binding; INVOLVED IN: photosynthetic electron transport chain, photosynthesis, light reaction, photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559, N-terminal (InterPro:IPR013081), Photosystem II protein cytochrome b559, beta subunit (InterPro:IPR006241), Photosystem II protein cytochrome b559, conserved site (InterPro:IPR006216).""","PSBF","photosystem II reaction center protein F","PSBF","-","photosystem II reaction center protein F","photosystem II reaction center protein F (PSBF)%3B FUNCTIONS IN: heme binding%2C metal ion binding%3B INVOLVED IN: photosynthetic electron transport chain%2C photosynthesis%2C light reaction%2C photosynthesis%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559%2C N-terminal (InterPro:IPR013081)%2C Photosystem II protein cytochrome b559%2C beta subunit (InterPro:IPR006241)%2C Photosystem II protein cytochrome b559%2C conserved site (InterPro:IPR006216).","""PMID:14729914,PMID:17726051,PMID:18650403,PMID:19448041,PMID:21282060,locus:504954680""","protein_coding","PSII cytochrome b559","-","-","data",0.0343851036688208,2.01589675113003
"Os03t0659350-01","Os03g0659350","Hypothetical gene.","-","-","-","-","-","-","-","-","AK288422 (DDBJ, Best hit)","longestORF","-","-","J090032F09","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0460501051363196,-1.45950034466505
"Os04t0473150-00","Os04g0473150","Similar to photosystem II protein D1.","-","-","-","-","-","-","Biological Process: photosynthetic electron transport in photosystem II (GO:0009772), Biological Process: photosynthesis, light reaction (GO:0019684), Molecular Function: electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity (GO:0045156)","Photosynthetic reaction centre, L/M (IPR000484)","AF363674 (DDBJ)","NP_039360.1 (RefSeq)","-","-","-","-","ATCG00020.1","2","protein_coding","photosystem II reaction center protein A","""Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core""","""photosystem II reaction center protein A (PSBA); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbA/D1 (InterPro:IPR005867), Photosynthetic reaction centre, L/M (InterPro:IPR000484); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein D (TAIR:ATCG00270.1).""","PSBA","photosystem II reaction center protein A","PSBA","-","photosystem II reaction center protein A","photosystem II reaction center protein A (PSBA)%3B FUNCTIONS IN: chlorophyll binding%3B INVOLVED IN: photosynthesis%2C light reaction%3B LOCATED IN: in 6 components%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbA/D1 (InterPro:IPR005867)%2C Photosynthetic reaction centre%2C L/M (InterPro:IPR000484)%3B BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein D (TAIR:ATCG00270.1).","""PMID:10394638,PMID:9744095,PMID:9193094,PMID:8590463,PMID:11673622,PMID:11752385,PMID:11299375,PMID:11532164,PMID:12232406,PMID:14976253,PMID:2834093,PMID:15032878,PMID:15028209,PMID:15322131,PMID:15851416,PMID:16461379,PMID:16916444,PMID:17435084,PMID:17425718,PMID:18532976,PMID:18650403,PMID:16247559,PMID:19919572,PMID:20179937,PMID:20653883,PMID:21282060,PMID:22189425,PMID:23027666,PMID:23598180,PMID:24510261,locus:504954626""","protein_coding","Encodes chlorophyll binding protein D1%2C a part of the photosystem II reaction center core","-","-","data",0.00515588449753672,2.41118316404768
"Os05t0176700-01","Os05g0176700","Conserved hypothetical protein.","-","-","-","-","-","-","-","-","AK071729 (DDBJ, Best hit)","A2Y0X6 (UniProt)","-","-","J023110H11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0424733390837265,-0.597870051836316
"Os05t0579900-01","Os05g0579900","Similar to 10A19I.11.","-","-","-","-","OsDjC52","DnaJ domain protein C52","-","-","AK107480 (DDBJ, Best hit)","Q9XHV5 (UniProt)","-","-","002-129-C01","12209","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0416104387001477,1.54433077658937
"Os06t0228732-00","Os06g0228732","Non-protein coding transcript.","-","-","-","-","-","-","-","-","EU955725 (DDBJ)","NONE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.000640097531232387,3.17125099441943
"Os06t0272600-01","Os06g0272600","Non-protein coding transcript.","-","-","-","-","-","-","-","-","AK288812 (DDBJ, Best hit)","NONE","-","-","J090072D04","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0416104387001477,1.80849395139209
"Os07t0294300-01","Os07g0294300","Conserved hypothetical protein.","-","-","-","-","-","-","-","-","AK241028 (DDBJ, Best hit)","B8B585 (UniProt)","-","-","J065057L16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0466808543323868,-0.465836465181061
"Os07t0619200-01","Os07g0619200","EF hand domain containing protein.","-","-","-","-","-","-","Molecular Function: calcium ion binding (GO:0005509)","Calcium-binding EF-hand (IPR002048), EF-hand-like domain (IPR011992), EF-Hand 1, calcium-binding site (IPR018247), EF-hand (IPR018248), EF-HAND 2 (IPR018249)","AK100302 (DDBJ, Best hit)","GeneMark","-","-","J023078A16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0460501051363196,-0.375996627109124
"Os08t0162800-01","Os08g0162800","Acyl-CoA-binding protein , Stress response","OsACBP1","Acyl-CoA-binding protein, Acyl-CoA-binding protein 1","-","-","OsACBP1, ACBP1","Acyl-CoA-binding protein, Acyl-CoA-binding protein 1","Molecular Function: fatty-acyl-CoA binding (GO:0000062)","FERM/acyl-CoA-binding protein, 3-helical bundle (IPR014352), Acyl-CoA-binding protein, ACBP (IPR000582), Acyl-CoA-binding protein, ACBP, conserved site (IPR022408)","AK059406, AK122061","Q84SC3","-","24738983, 21128943","J033115J15, 001-027-C02","16026","AT1G31812.1","1","protein_coding","acyl-CoA-binding protein 6","Acyl-CoA-binding protein. Bind acyl-CoA esters and protect acyl-CoAs from degradation by microsomal acyl-hydrolases.","""acyl-CoA-binding protein 6 (ACBP6); FUNCTIONS IN: phosphatidylcholine binding, acyl-CoA binding; INVOLVED IN: response to freezing, response to cold, lipid transport; LOCATED IN: cytosol, plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Acyl-CoA-binding protein, ACBP (InterPro:IPR000582), FERM/acyl-CoA-binding protein, 3-helical bundle (InterPro:IPR014352); BEST Arabidopsis thaliana protein match is: acyl-CoA binding protein 1 (TAIR:AT5G53470.1)""","""ACBP,ACBP6,AtACBP6""","acyl-CoA-binding protein 6","ACBP6","""ACBP,ACYL-COA-BINDING PROTEIN,AtACBP6""","acyl-CoA-binding protein 6","acyl-CoA-binding protein 6 (ACBP6)%3B FUNCTIONS IN: phosphatidylcholine binding%2C acyl-CoA binding%3B INVOLVED IN: response to freezing%2C response to cold%2C lipid transport%3B LOCATED IN: cytosol%2C plasma membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Acyl-CoA-binding protein%2C ACBP (InterPro:IPR000582)%2C FERM/acyl-CoA-binding protein%2C 3-helical bundle (InterPro:IPR014352)%3B BEST Arabidopsis thaliana protein match is: acyl-CoA binding protein 1 (TAIR:AT5G53470.1)%3B Has 1828 Blast hits to 1828 proteins in 405 species: Archae - 0%3B Bacteria - 293%3B Metazoa - 888%3B Fungi - 180%3B Plants - 233%3B Viruses - 0%3B Other Eukaryotes - 234 (source: NCBI BLink).","""PMID:8660683,PMID:18182029,PMID:18650403,PMID:18621979,PMID:18775970,PMID:19121948,PMID:19589686,PMID:19704440,PMID:20009557,PMID:20107029,PMID:20657176,PMID:21144863,PMID:21128943,PMID:21670223,PMID:23448237,PMID:23505340,PMID:23415331,PMID:24556610,PMID:25423293,PMID:25395473,locus:2826180""","protein_coding","Acyl-CoA-binding protein. Bind acyl-CoA esters and protect acyl-CoAs from degradation by microsomal acyl-hydrolases.","-","-","data",0.0111178680247657,-0.457967550612869
"Os08t0198200-00","Os08g0198200","Hypothetical conserved gene.","-","-","-","-","-","-","Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)","Peptidase A1 (IPR001461), Peptidase aspartic, catalytic (IPR009007), Peptidase aspartic (IPR021109)","BT018721 (DDBJ)","NP_001042193.1 (RefSeq)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data",0.0185509803756757,-1.34272982546033
"Os08t0374100-01","Os08g0374100","Similar to Ubiquitin carrier protein.","-","-","UBC5","UBIQUITIN-CONJUGATING ENZYME 5","OsUBC5","Ubiquitin-conjugating enzyme 5","Molecular Function: acid-amino acid ligase activity (GO:0016881)","Ubiquitin-conjugating enzyme, E2 (IPR000608), Ubiquitin-conjugating enzyme/RWD-like (IPR016135), Ubiquitin-conjugating enzyme, active site (IPR023313)","AK070541 (DDBJ, Best hit)","B9G0M2 (UniProt)","-","-","J023056A05","19553","AT4G36800.1","1","protein_coding","RUB1 conjugating enzyme 1","""RUB1 conjugating enzyme that conjugates CUL1 and is involved in auxin response and embryogenesis. RCE1 protein physically interacts with RBX1, which may be the E3 for CUL1.""","""RUB1 conjugating enzyme 1 (RCE1); CONTAINS InterPro DOMAIN/s: Ubiquitin-conjugating enzyme/RWD-like (InterPro:IPR016135), Ubiquitin-conjugating enzyme, E2 (InterPro:IPR000608), RUB1 conjugating enzyme Ubc12 (InterPro:IPR015580); BEST Arabidopsis thaliana protein match is: Ubiquitin-conjugating enzyme family protein (TAIR:AT2G18600.1)""","RCE1","RUB1 conjugating enzyme 1","RCE1","-","RUB1 conjugating enzyme 1","RUB1 conjugating enzyme 1 (RCE1)%3B CONTAINS InterPro DOMAIN/s: Ubiquitin-conjugating enzyme/RWD-like (InterPro:IPR016135)%2C Ubiquitin-conjugating enzyme%2C E2 (InterPro:IPR000608)%2C RUB1 conjugating enzyme Ubc12 (InterPro:IPR015580)%3B BEST Arabidopsis thaliana protein match is: Ubiquitin-conjugating enzyme family protein (TAIR:AT2G18600.1)%3B Has 8473 Blast hits to 8470 proteins in 386 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 3871%3B Fungi - 1731%3B Plants - 1533%3B Viruses - 20%3B Other Eukaryotes - 1318 (source: NCBI BLink).","""PMID:10611386,PMID:9857029,PMID:12215511,PMID:12682009,PMID:18775970,PMID:22282537,PMID:22238449,PMID:23319550,PMID:24596172,locus:2115305""","protein_coding","RUB1 conjugating enzyme that conjugates CUL1 and is involved in auxin response and embryogenesis. RCE1 protein physically interacts with RBX1%2C which may be the E3 for CUL1.","-","-","data",0.022946969133085,-0.349697900344612
"Os08t0433350-00","Os08g0433350","Similar to photosystem II protein I.","-","-","-","-","-","-","Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem II (GO:0009523), Cellular Component: photosystem II reaction center (GO:0009539), Cellular Component: membrane (GO:0016020)","Photosystem II PsbI (IPR003686)","EU955725 (DDBJ)","YP_002720022.1 (RefSeq)","-","-","-","-","ATCG00080.1","2","protein_coding","photosystem II reaction center protein I","PSII I protein","photosystem II reaction center protein I (PSBI); CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbI (InterPro:IPR003686).","PSBI","photosystem II reaction center protein I","PSBI","-","photosystem II reaction center protein I","photosystem II reaction center protein I (PSBI)%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbI (InterPro:IPR003686).","""PMID:7615565,PMID:17061125,PMID:18650403,locus:504954632""","protein_coding","PSII I protein","-","-","data",0.00166553617589263,2.58740498033055
"Os09t0440851-01","Os09g0440851","Hypothetical gene.","-","-","-","-","-","-","-","-","AK288248 (DDBJ, Best hit)","longestORF","-","-","J090014I17","-","ATCG00090.1","2","pre_trna","NULL","tRNA-Ser","NULL","TRNS.1","-","TRNS.1","-","-","tRNA-Ser%2Canticodon:GCT","""PMID:10574454,PMID:8980477,PMID:23066098,PMID:10574454,PMID:8980477,locus:504954633""","pre_trna","tRNA-Ser","-","-","data",0.00243508968199433,2.95630137591112
"Os11t0184900-02","Os11g0184900","NAC-type transcription factor, Regulation of stress-inducible genes, Stress tolerance","NAC5, OsNAC5, NAC71, ONAC071, ONAC009, ONAC9, ONAC020, ONAC20, OnNAC5*, OnNAC5, OsNAC5/ONAC009","NAC DOMAIN-CONTAINING PROTEIN 5, NAC 5, NAC domain-containing protein 71, ONNAC GENE 5, OsNAC gene-5, NAC domain-containing protein 9, NAC domain-containing protein 20, OnNAC gene-5","NAC5","NAC DOMAIN-CONTAINING PROTEIN 5","OsNAC5, NAC71, ONAC071, ONAC009, ONAC9, ONAC020, ONAC20, OnNAC5*, OnNAC5, OsNAC5/ONAC009","NAC 5, NAC domain-containing protein 71, ONNAC GENE 5, OsNAC gene-5, NAC domain-containing protein 9, NAC domain-containing protein 20, OnNAC gene-5","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677)","NAC domain (IPR003441)","AB028184, AK063399, AK102475","Q53NF7","-","20632034, 10660065","001-114-H12, J033094I01","2261","AT5G08790.1","1","protein_coding","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","""induced by wounding, belongs to a large family of putative transcriptional activators with NAC domain.""","ATAF2; CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441); BEST Arabidopsis thaliana protein match is: NAC domain containing protein 102 (TAIR:AT5G63790.1)","""anac081,ATAF2""","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","ATAF2","-","-","ATAF2%3B CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441)%3B BEST Arabidopsis thaliana protein match is: NAC domain containing protein 102 (TAIR:AT5G63790.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).","""PMID:11516145,PMID:12566592,PMID:12646039,PMID:12805589,PMID:14551330,PMID:14968133,PMID:14750526,PMID:15029955,PMID:15083810,PMID:16115070,PMID:16820983,PMID:18230142,PMID:18684332,PMID:18849494,PMID:19625399,PMID:22965747,PMID:22937923,locus:504956335""","protein_coding","induced by wounding%2C belongs to a large family of putative transcriptional activators with NAC domain.","-","-","data",0.000162772222252978,0.539903283245955
"Os12t0117400-01","Os12g0117400","Similar to RPT2-like protein.","-","-","-","-","-","-","Biological Process: response to light stimulus (GO:0009416), Molecular Function: signal transducer activity (GO:0004871)","NPH3 (IPR004249), BTB/POZ fold (IPR011333)","AK060741 (DDBJ, Best hit)","B6ST41 (UniProt)","-","-","001-032-D09","-","AT2G30520.3","1","protein_coding","Phototropic-responsive NPH3 family protein","light inducible root phototropism 2 encoding a signal transducer of the phototropic response in Arabidopsis","""ROOT PHOTOTROPISM 2 (RPT2); FUNCTIONS IN: signal transducer activity; INVOLVED IN: phototropism; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NPH3 (InterPro:IPR004249), BTB/POZ (InterPro:IPR013069), BTB/POZ fold (InterPro:IPR011333); BEST Arabidopsis thaliana protein match is: Phototropic-responsive NPH3 family protein (TAIR:AT5G67385.1)""","RPT2","Phototropic-responsive NPH3 family protein","RPT2","-","ROOT PHOTOTROPISM 2","ROOT PHOTOTROPISM 2 (RPT2)%3B FUNCTIONS IN: signal transducer activity%3B INVOLVED IN: phototropism%3B LOCATED IN: nucleus%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: NPH3 (InterPro:IPR004249)%2C BTB/POZ (InterPro:IPR013069)%2C BTB/POZ fold (InterPro:IPR011333)%2C BTB/POZ-like (InterPro:IPR000210)%3B BEST Arabidopsis thaliana protein match is: Phototropic-responsive NPH3 family protein (TAIR:AT5G67385.1)%3B Has 1044 Blast hits to 1009 proteins in 58 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 171%3B Fungi - 0%3B Plants - 865%3B Viruses - 0%3B Other Eukaryotes - 8 (source: NCBI BLink).","""PMID:10662859,PMID:10542152,PMID:16908503,PMID:19524572,PMID:20202166,PMID:21490420,PMID:21653191,PMID:21990941,PMID:22374392,PMID:23148892,PMID:22739508,PMID:23352406,locus:2064357""","protein_coding","light inducible root phototropism 2 encoding a signal transducer of the phototropic response in Arabidopsis","-","-","data",0.0373277993964,-0.910738945191878
"Os12t0504050-00","Os12g0504050","Similar to Photosystem II reaction center protein Z.","-","-","-","-","-","-","Biological Process: photosynthesis (GO:0015979), Biological Process: photosystem II stabilization (GO:0042549), Cellular Component: photosystem II (GO:0009523), Cellular Component: photosystem II reaction center (GO:0009539)","Photosystem II PsbZ, reaction centre (IPR002644)","U37703 (DDBJ)","D7KRB7 (UniProt)","-","-","-","-","ATCG00300.1","2","protein_coding","YCF9","""encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.""","""YCF9; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast photosystem II; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbZ (InterPro:IPR002644).""","YCF9","YCF9","YCF9","-","-","YCF9%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: photosynthesis%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast photosystem II%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II reaction centre protein PsbZ (InterPro:IPR002644).","""PMID:8768377,PMID:14729914,PMID:17726051,PMID:18650403,locus:504954654""","protein_coding","encodes PsbZ%2C which is a subunit of photosystem II. In Chlamydomonas%2C this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.","-","-","data",0.00580922265069092,2.06879341884709
